date,account_number,account_name,description,debit,credit,preparer_id,posted,currency
01/07/2025,4002,Product Sales,Invoice raised for services,,298663.82,P003,N,INR
31/07/2025,3001,Share Capital,Tax provision entry,42807.41,,P002,Y,USD
13/03/2025,2001,Accounts Payable,Utility bill settlement,134569.2,,P004,Y,INR
22/05/2025,3001,Share Capital,Utility bill settlement,242373.54,,P002,Y,INR
17/11/2025,4001,Revenue from Services,Petty cash reimbursement,,308526.06,P003,Y,INR
04/01/2025,3001,Share Capital,Vendor payment,,420885.89,P003,Y,USD
09/08/2025,5005,Depreciation,Reversing entry,429824.48,,P005,Y,INR
22/12/2025,1010,Prepaid Expenses,Depreciation entry,,157434.55,P004,Y,INR
22/10/2025,5004,Utilities Expense,Office rent payment,,163280.18,P001,N,INR
16/10/2025,1010,Prepaid Expenses,Petty cash reimbursement,498633.83,,P002,Y,USD
13/08/2025,5004,Utilities Expense,Utility bill settlement,415725.26,,P002,N,USD
21/11/2025,2001,Accounts Payable,Office rent payment,126714.5,,P001,N,USD
18/08/2025,5001,Cost of Goods Sold,Depreciation entry,,291330.89,P005,Y,INR
01/11/2025,5002,Salaries and Wages,Intercompany transfer,42948.48,,P005,Y,INR
23/01/2025,5001,Cost of Goods Sold,Advance payment to supplier,,338897.21,P001,Y,USD
06/01/2025,1002,Accounts Receivable,Utility bill settlement,111389.54,,P004,N,INR
26/08/2025,5004,Utilities Expense,Advance payment to supplier,294500.68,,P004,Y,INR
23/02/2025,2001,Accounts Payable,Loan repayment,460313.5,,P003,Y,INR
09/06/2025,2002,Short-term Loans,Depreciation entry,,392242.86,P001,Y,USD
13/08/2025,5003,Rent Expense,Bank charges,226497.37,,P001,Y,INR
12/01/2025,5005,Depreciation,Vendor payment,324160.97,,P005,Y,INR
23/03/2025,2002,Short-term Loans,Revenue recognition,,213471.51,P002,Y,USD
06/04/2025,5002,Salaries and Wages,Advance payment to supplier,216351.16,,P005,Y,USD
08/08/2025,3001,Share Capital,Payment received from client,352515.44,,P005,Y,INR
22/02/2025,5004,Utilities Expense,Reversing entry,,268676.06,P004,Y,INR
28/02/2025,2001,Accounts Payable,Advance payment to supplier,,431386.96,P005,N,USD
28/02/2025,2002,Short-term Loans,Vendor payment,422836.14,,P002,Y,INR
10/06/2025,1002,Accounts Receivable,Office rent payment,153037.31,,P005,Y,INR
18/07/2025,3001,Share Capital,Petty cash reimbursement,,69364.72,P004,N,INR
22/11/2025,4002,Product Sales,Bank charges,459620.92,,P003,Y,USD
13/03/2025,1003,Inventory,Vendor payment,421071.61,,P004,Y,INR
11/03/2025,1010,Prepaid Expenses,Reversing entry,,192280.12,P004,N,USD
30/12/2025,5005,Depreciation,Depreciation entry,244605.41,,P003,Y,INR
17/01/2025,2001,Accounts Payable,Office rent payment,269035.5,,P005,N,USD
19/09/2025,1002,Accounts Receivable,Petty cash reimbursement,,57546.22,P005,Y,USD
22/04/2025,3001,Share Capital,Invoice raised for services,368126.35,,P004,Y,INR
15/05/2025,2002,Short-term Loans,Reversing entry,,408455.93,P002,Y,INR
29/10/2025,5003,Rent Expense,Vendor payment,,430593.82,P002,Y,INR
16/04/2025,5004,Utilities Expense,Payment received from client,,285252.14,P003,Y,INR
29/05/2025,5001,Cost of Goods Sold,Utility bill settlement,476222.47,,P001,Y,USD
22/05/2025,5005,Depreciation,Advance payment to supplier,63880.64,,P003,Y,INR
07/05/2025,5004,Utilities Expense,Reversing entry,,338279.16,P004,Y,INR
12/07/2025,4001,Revenue from Services,Invoice raised for services,316997.07,,P003,N,INR
21/08/2025,4001,Revenue from Services,Vendor payment,291186.79,,P001,N,INR
01/10/2025,3001,Share Capital,Office rent payment,484080.23,,P003,N,INR
26/05/2025,2002,Short-term Loans,Revenue recognition,,289177.85,P001,Y,INR
20/02/2025,5002,Salaries and Wages,Tax provision entry,418432.74,,P004,Y,INR
22/08/2025,1001,Cash and Cash Equivalents,Loan repayment,101557.94,,P003,Y,INR
17/02/2025,5002,Salaries and Wages,Vendor payment,,125569.44,P004,Y,INR
17/11/2025,2001,Accounts Payable,Bank charges,349870.97,,P001,N,INR
01/01/2025,1010,Prepaid Expenses,Depreciation entry,39430.39,,P001,N,INR
23/12/2025,2002,Short-term Loans,Reversing entry,,60736.6,P001,Y,USD
28/04/2025,3001,Share Capital,Invoice raised for services,365516.31,,P003,Y,INR
03/06/2025,1003,Inventory,Loan repayment,386843.51,,P005,Y,INR
16/10/2025,1001,Cash and Cash Equivalents,Petty cash reimbursement,,325185.1,P002,Y,INR
30/07/2025,5001,Cost of Goods Sold,Advance payment to supplier,221470.74,,P002,Y,INR
05/03/2025,5001,Cost of Goods Sold,Bank charges,,192323.94,P002,Y,INR
22/05/2025,5002,Salaries and Wages,Invoice raised for services,,124459.43,P002,Y,INR
23/09/2025,5001,Cost of Goods Sold,Revenue recognition,,94728.94,P002,Y,INR
11/09/2025,3001,Share Capital,Invoice raised for services,120920.34,,P003,Y,INR
09/03/2025,3001,Share Capital,Reversing entry,,419567.16,P004,Y,INR
07/02/2025,1001,Cash and Cash Equivalents,Petty cash reimbursement,,34232.52,P001,Y,INR
23/07/2025,4002,Product Sales,Utility bill settlement,,314471.06,P001,N,USD
24/11/2025,4002,Product Sales,Revenue recognition,,308215.5,P001,Y,INR
19/09/2025,5006,Miscellaneous Expense,Office rent payment,487169.54,,P005,Y,USD
21/11/2025,5004,Utilities Expense,Reversing entry,325094.85,,P002,Y,USD
30/01/2025,1010,Prepaid Expenses,Invoice raised for services,462351.56,,P003,N,INR
08/12/2025,5003,Rent Expense,Advance payment to supplier,370458.76,,P001,Y,INR
25/03/2025,4001,Revenue from Services,Vendor payment,,261741.18,P002,Y,INR
18/05/2025,5003,Rent Expense,Intercompany transfer,59469.33,,P003,Y,USD
26/09/2025,1002,Accounts Receivable,Utility bill settlement,356305.46,,P005,N,USD
04/07/2025,1001,Cash and Cash Equivalents,Depreciation entry,429750.21,,P003,Y,INR
22/02/2025,5006,Miscellaneous Expense,Petty cash reimbursement,337223.16,,P001,Y,INR
07/01/2025,1010,Prepaid Expenses,Payment received from client,,236146.41,P001,Y,INR
11/10/2025,5004,Utilities Expense,Intercompany transfer,,357153.39,P002,Y,INR
02/08/2025,5006,Miscellaneous Expense,Bank charges,160307.6,,P005,Y,INR
11/12/2025,5006,Miscellaneous Expense,Payment received from client,90082.5,,P004,N,INR
25/05/2025,5004,Utilities Expense,Reversing entry,155693.54,,P003,N,INR
13/04/2025,2001,Accounts Payable,Petty cash reimbursement,392361.36,,P005,N,INR
10/09/2025,5004,Utilities Expense,Tax provision entry,98113.5,,P004,Y,INR
13/01/2025,1010,Prepaid Expenses,Revenue recognition,173538.64,,P004,Y,INR
07/06/2025,1002,Accounts Receivable,Office rent payment,265142.34,,P001,N,USD
14/03/2025,5003,Rent Expense,Utility bill settlement,46966.81,,P004,N,INR
13/02/2025,5001,Cost of Goods Sold,Invoice raised for services,,252961.17,P004,Y,INR
06/12/2025,1003,Inventory,Office rent payment,,146192.17,P003,N,INR
20/08/2025,2001,Accounts Payable,Office rent payment,37806.37,,P002,Y,INR
24/02/2025,1003,Inventory,Depreciation entry,,233294.53,P002,Y,INR
20/08/2025,2001,Accounts Payable,Depreciation entry,132871.46,,P003,Y,INR
27/12/2025,5003,Rent Expense,Petty cash reimbursement,,20644.74,P002,Y,INR
02/07/2025,3001,Share Capital,Revenue recognition,,24950.83,P001,Y,INR
27/07/2025,5005,Depreciation,Depreciation entry,278198.9,,P001,Y,USD
13/03/2025,1002,Accounts Receivable,Payment received from client,31303.76,,P004,Y,INR
10/07/2025,5002,Salaries and Wages,Advance payment to supplier,468818.66,,P001,Y,INR
03/02/2025,1010,Prepaid Expenses,Intercompany transfer,323170.45,,P001,Y,INR
22/01/2025,4001,Revenue from Services,Payment received from client,,84410.61,P001,N,USD
15/07/2025,5002,Salaries and Wages,Loan repayment,86817.2,,P003,Y,INR
17/08/2025,5006,Miscellaneous Expense,Salary disbursement,17807.4,,P004,Y,USD
09/10/2025,4001,Revenue from Services,Payment received from client,,44316.91,P002,Y,USD
26/11/2025,5006,Miscellaneous Expense,Tax provision entry,263144.12,,P004,N,INR
06/10/2025,5004,Utilities Expense,Depreciation entry,,172345.04,P002,N,INR
14/01/2025,2002,Short-term Loans,Petty cash reimbursement,,109900.58,P005,Y,USD
03/07/2025,5004,Utilities Expense,Petty cash reimbursement,499803.07,,P002,Y,INR
17/05/2025,4002,Product Sales,Reversing entry,395722.99,,P003,Y,USD
30/03/2025,1003,Inventory,Office rent payment,,296463.49,P005,Y,INR
16/10/2025,1003,Inventory,Petty cash reimbursement,,474210.07,P004,Y,INR
20/01/2025,1002,Accounts Receivable,Payment received from client,116695.37,,P001,Y,USD
19/06/2025,5006,Miscellaneous Expense,Petty cash reimbursement,101131.46,,P003,Y,INR
31/01/2025,1001,Cash and Cash Equivalents,Salary disbursement,293511.28,,P001,Y,INR
11/07/2025,5003,Rent Expense,Advance payment to supplier,198099.98,,P003,Y,INR
11/03/2025,1003,Inventory,Bank charges,,474372.42,P005,Y,INR
22/12/2025,5006,Miscellaneous Expense,Intercompany transfer,,307047.64,P004,Y,INR
07/06/2025,5003,Rent Expense,Bank charges,147611.37,,P005,Y,USD
17/01/2025,1003,Inventory,Petty cash reimbursement,159449.35,,P002,Y,USD
19/06/2025,5003,Rent Expense,Invoice raised for services,,119378.96,P003,Y,INR
17/08/2025,1001,Cash and Cash Equivalents,Utility bill settlement,105237.3,,P001,Y,INR
01/01/2025,1001,Cash and Cash Equivalents,Loan repayment,,219390.96,P004,Y,USD
13/07/2025,2002,Short-term Loans,Revenue recognition,,187986.11,P004,Y,INR
07/02/2025,5004,Utilities Expense,Reversing entry,17189.69,,P001,Y,INR
07/02/2025,2002,Short-term Loans,Salary disbursement,444021.67,,P003,Y,INR
01/11/2025,5001,Cost of Goods Sold,Intercompany transfer,241627.02,,P005,N,INR
11/08/2025,1003,Inventory,Payment received from client,51078.28,,P005,Y,USD
04/10/2025,2001,Accounts Payable,Advance payment to supplier,141120.78,,P004,Y,INR
20/10/2025,4002,Product Sales,Reversing entry,245728.66,,P004,Y,INR
14/02/2025,2001,Accounts Payable,Reversing entry,,331179.1,P001,Y,INR
16/04/2025,1003,Inventory,Advance payment to supplier,146259.83,,P003,N,INR
23/07/2025,4001,Revenue from Services,Depreciation entry,,447491.3,P002,Y,USD
09/07/2025,5006,Miscellaneous Expense,Loan repayment,,185016.13,P004,Y,INR
27/08/2025,2001,Accounts Payable,Office rent payment,418620.84,,P001,Y,INR
09/12/2025,2002,Short-term Loans,Tax provision entry,270953.78,,P005,Y,USD
03/08/2025,4002,Product Sales,Advance payment to supplier,,433513.56,P003,Y,USD
10/02/2025,3001,Share Capital,Intercompany transfer,427042.94,,P004,Y,INR
30/03/2025,1003,Inventory,Office rent payment,404326.13,,P001,Y,USD
16/12/2025,3001,Share Capital,Office rent payment,498635.98,,P001,Y,INR
14/02/2025,3001,Share Capital,Revenue recognition,,198978.82,P001,Y,USD
25/12/2025,5001,Cost of Goods Sold,Petty cash reimbursement,,261519.72,P002,Y,USD
17/03/2025,5001,Cost of Goods Sold,Petty cash reimbursement,291547.2,,P003,Y,INR
02/10/2025,5006,Miscellaneous Expense,Vendor payment,,439007.83,P005,N,USD
08/11/2025,4001,Revenue from Services,Payment received from client,,86513.76,P001,Y,USD
22/07/2025,5006,Miscellaneous Expense,Intercompany transfer,166081.29,,P003,Y,USD
10/07/2025,1001,Cash and Cash Equivalents,Vendor payment,,408784.27,P004,Y,INR
23/12/2025,5002,Salaries and Wages,Invoice raised for services,486262.07,,P004,Y,INR
14/06/2025,2001,Accounts Payable,Bank charges,208677.98,,P002,Y,USD
28/07/2025,5003,Rent Expense,Depreciation entry,,379866.9,P001,Y,INR
09/06/2025,5003,Rent Expense,Revenue recognition,201990.88,,P002,Y,INR
30/01/2025,1010,Prepaid Expenses,Payment received from client,,228496.11,P003,Y,INR
26/08/2025,4002,Product Sales,Loan repayment,317887.2,,P003,Y,INR
08/09/2025,5001,Cost of Goods Sold,Depreciation entry,,89203.06,P002,Y,INR
13/05/2025,5003,Rent Expense,Reversing entry,,344580.84,P001,Y,USD
25/03/2025,5005,Depreciation,Petty cash reimbursement,390025.15,,P002,Y,INR
18/05/2025,5002,Salaries and Wages,Loan repayment,256883.98,,P002,N,INR
04/11/2025,5004,Utilities Expense,Payment received from client,,112273.13,P004,Y,USD
28/06/2025,4001,Revenue from Services,Utility bill settlement,,109495.42,P001,N,INR
19/09/2025,5002,Salaries and Wages,Reversing entry,,419769.52,P004,Y,INR
02/02/2025,2002,Short-term Loans,Utility bill settlement,,320477.08,P002,Y,INR
18/03/2025,4002,Product Sales,Tax provision entry,120530.89,,P002,N,INR
14/01/2025,5002,Salaries and Wages,Depreciation entry,,498735.82,P004,N,USD
19/01/2025,5001,Cost of Goods Sold,Bank charges,497379.49,,P005,Y,INR
23/11/2025,5004,Utilities Expense,Depreciation entry,,453309.99,P005,Y,INR
03/04/2025,2001,Accounts Payable,Invoice raised for services,,235655.05,P001,Y,INR
24/04/2025,2002,Short-term Loans,Office rent payment,,372232.86,P003,N,INR
14/05/2025,5001,Cost of Goods Sold,Utility bill settlement,232148.43,,P005,N,INR
25/10/2025,5001,Cost of Goods Sold,Invoice raised for services,236373.73,,P005,Y,USD
